posteam,pass_to_run,shotgun_freq,no_huddle_freq,short_passes_freq,deep_passes_freq,middle_passes,side_passes,scramble_freq,first_down_rush_pct,epa_pass,epa_run,yac,inside_run_pct,outside_run_pct,yards_gained_1,yards_gained_2,yards_gained_3,yards_gained_4,ydstogo_3rd_down,avg_air_yards,scheme
ARI,0.5718283582089553,0.6875,0.0998134328358208,0.416044776119403,0.0895522388059701,0.1783216783216783,0.7692307692307693,0.0668841761827079,0.4159021406727828,0.0758305266499519,0.0561771728098392,5.272727489471436,0.6949891067538126,0.2832244008714596,6.0401692390441895,6.093294620513916,5.635416507720947,4.0,6.395833492279053,6.821033000946045,West Coast
ATL,0.5518518518518518,0.812962962962963,0.1453703703703703,0.4138888888888888,0.1,0.2122241086587436,0.7300509337860781,0.011744966442953,0.4018126888217522,0.0499394983053207,0.0150371985509991,5.379120826721191,0.6012396694214877,0.378099173553719,6.0649895668029785,5.782485961914063,5.44444465637207,7.838709831237793,7.106280326843262,8.046846389770508,Spread Option
BAL,0.5009225092250923,0.672509225092251,0.0525830258302583,0.3376383763837638,0.0977859778597785,0.2329317269076305,0.714859437751004,0.0828729281767955,0.4517906336088154,0.3348925709724426,0.110430896282196,6.559748649597168,0.6284658040665434,0.3604436229205175,7.06584358215332,6.89595365524292,7.132275104522705,3.0,7.121693134307861,8.811440467834473,West Coast
BUF,0.5514285714285714,0.6295238095238095,0.0609523809523809,0.3819047619047619,0.1123809523809523,0.1591760299625468,0.8127340823970037,0.077720207253886,0.4361370716510903,0.248737633228302,0.120150551199913,6.623100280761719,0.7791932059447984,0.2186836518046709,5.62696647644043,6.383481025695801,6.419191837310791,8.409090995788574,6.6565656661987305,8.211946487426758,Run Power
CAR,0.6097087378640776,0.6524271844660194,0.0689320388349514,0.4223300970873786,0.1087378640776699,0.1982905982905982,0.7367521367521368,0.0684713375796178,0.3707865168539326,-0.1028568521142005,0.0191142838448286,4.196480751037598,0.7810945273631841,0.2139303482587064,5.796690464019775,4.546875,5.085308074951172,3.200000047683716,6.791469097137451,8.160877227783203,West Coast McVay
CHI,0.6221821460775473,0.6780883678990082,0.2461677186654643,0.4003606853020739,0.1064021641118124,0.16875,0.709375,0.072463768115942,0.3605947955390334,-0.0978791117668151,-0.0575108118355274,5.314447402954102,0.6229116945107399,0.3699284009546539,4.69069766998291,4.903682708740234,3.78947377204895,5.815789699554443,7.65350866317749,8.067615509033203,West Coast McVay
CIN,0.6626947754353804,0.8230980751604033,0.0293308890925756,0.5151237396883593,0.0815765352887259,0.2054208273894436,0.7232524964336662,0.0304287690179806,0.2580645161290322,0.1434012204408645,-0.0112060382962226,4.765217304229736,0.8152173913043478,0.1766304347826087,6.28690242767334,5.392045497894287,5.537383079528809,6.315789699554443,6.299065589904785,7.087557792663574,Pistol Power Spread
CLE,0.665514261019879,0.7536732929991357,0.1469317199654278,0.4693171996542783,0.1011235955056179,0.1852861035422343,0.7138964577656676,0.0467532467532467,0.3406593406593406,-0.2447615712881088,-0.0667856633663177,4.331645488739014,0.7493540051679587,0.2454780361757106,4.838362216949463,4.78804349899292,4.071730136871338,3.340909004211426,7.902953624725342,7.78636360168457,Air Raid
DAL,0.6205962059620597,0.7199638663053297,0.087624209575429,0.4787714543812105,0.0939476061427281,0.2192592592592592,0.72,0.0174672489082969,0.3379310344827586,-0.1066436767578125,-0.1138955950736999,5.1005024909973145,0.7642857142857142,0.2166666666666666,5.144067764282227,5.035616397857666,5.3832597732543945,3.2142856121063232,7.079295158386231,7.389589786529541,West Coast
DEN,0.5922865013774105,0.6097337006427915,0.1276400367309458,0.4178145087235996,0.1046831955922865,0.1936026936026936,0.7643097643097643,0.0790697674418604,0.4189189189189189,0.0390798710286617,-0.0049226586706936,5.511873245239258,0.7342342342342343,0.2612612612612612,5.175675868988037,5.223837375640869,5.583333492279053,8.142857551574707,6.811403274536133,7.258347988128662,West Coast McVay
DET,0.5359066427289049,0.4389587073608617,0.0359066427289048,0.4102333931777379,0.0816876122082585,0.2989690721649484,0.6426116838487973,0.0251256281407035,0.3730569948186528,0.2763842940330505,0.0498091839253902,6.461153030395508,0.7176015473887815,0.2804642166344294,6.838645458221436,6.027933120727539,5.872549057006836,5.818181991577148,6.176470756530762,6.368613243103027,Shanahan Wide Zone
GB,0.5038387715930902,0.736084452975048,0.0892514395393474,0.3512476007677543,0.1084452975047984,0.194059405940594,0.7544554455445545,0.0380952380952381,0.4536741214057508,0.1355790048837661,0.0236323159188032,6.259740352630615,0.7292069632495164,0.2611218568665377,6.004376411437988,6.647727489471436,5.842931747436523,6.8125,6.612565517425537,8.741127014160156,West Coast
HOU,0.6101382488479262,0.5751152073732719,0.0534562211981566,0.4202764976958525,0.104147465437788,0.1990369181380417,0.7142857142857143,0.0589123867069486,0.3111888111888112,-0.0344193428754806,-0.0731752663850784,4.910364151000977,0.7139479905437353,0.2742316784869976,5.845474720001221,4.565597534179688,4.752173900604248,7.722222328186035,7.639130592346191,8.177504539489746,Run Power
IND,0.5378071833648393,0.8572778827977315,0.109640831758034,0.3572778827977316,0.1257088846880907,0.1889908256880734,0.7486238532110092,0.0421792618629174,0.4467353951890034,-0.0727358311414718,-0.039098922163248,5.04152250289917,0.7709611451942741,0.2106339468302658,6.229074954986572,4.784194469451904,5.463302612304688,3.9642856121063232,6.816513538360596,10.632094383239746,Run Power
JAX,0.600196463654224,0.6895874263261297,0.1277013752455795,0.4282907662082514,0.1070726915520628,0.1900684931506849,0.7431506849315068,0.044189852700491,0.3785714285714285,-0.0147100081667304,-0.0279371179640293,5.113702774047852,0.7985257985257985,0.1941031941031941,5.313817501068115,5.596330165863037,4.980391979217529,3.807692289352417,6.671568393707275,8.416513442993164,Pistol Power Spread
KC,0.6137184115523465,0.7382671480144405,0.0117328519855595,0.4702166064981949,0.0694945848375451,0.2137285491419656,0.719188767550702,0.0573529411764705,0.3261538461538461,0.0919766500592231,0.0371033363044261,5.79950475692749,0.7663551401869159,0.2313084112149532,5.309368133544922,5.163934230804443,5.4311113357543945,3.117647171020508,6.328888893127441,6.366220951080322,Run Power
LA,0.5775193798449613,0.5465116279069767,0.0852713178294573,0.4418604651162791,0.0988372093023255,0.1925675675675675,0.75,0.0067114093959731,0.382636655948553,0.0573845952749252,-0.0449269637465477,5.335149765014648,0.8119266055045872,0.1811926605504587,5.814254760742188,5.648093700408936,4.602040767669678,5.458333492279053,6.494897842407227,7.39068078994751,Run Power
LAC,0.5693501454898157,0.6459747817652765,0.0368574199806013,0.3811833171677982,0.110572259941804,0.2148014440433213,0.7003610108303249,0.0562180579216354,0.3846153846153846,0.0962522700428962,-0.0315274335443973,5.032738208770752,0.7387387387387387,0.25,5.180327892303467,6.228228092193604,5.2580647468566895,7.4375,7.055299758911133,8.607495307922363,Run Power
LV,0.654562383612663,0.723463687150838,0.1089385474860335,0.4916201117318435,0.0949720670391061,0.1947291361639824,0.7276720351390923,0.0284495021337126,0.2717770034843205,-0.0913973525166511,-0.2371037304401397,5.026829242706299,0.8113207547169812,0.1698113207547169,5.162637233734131,4.740633964538574,4.684684753417969,5.480000019073486,7.211711883544922,7.0714287757873535,Pistol Power Spread
MIA,0.5994550408719346,0.7665758401453224,0.0554041780199818,0.4532243415077202,0.0799273387829246,0.2031496062992126,0.721259842519685,0.0378787878787878,0.2893890675241157,0.0615185834467411,-0.1835652440786361,5.411622047424316,0.6190476190476191,0.365079365079365,5.514644145965576,5.252840995788574,4.476190567016602,3.645161390304565,7.104762077331543,6.321976184844971,West Coast McVay
MIN,0.5916824196597353,0.4933837429111531,0.106805293005671,0.4064272211720227,0.110586011342155,0.2060301507537688,0.7102177554438861,0.0463258785942492,0.3225806451612903,0.0731334239244461,-0.062131255865097,4.925824165344238,0.6898148148148148,0.3032407407407407,5.825806617736816,5.968660831451416,5.467336654663086,2.230769157409668,7.482411861419678,8.457037925720215,West Coast McVay
NE,0.5933147632311978,0.6666666666666666,0.0900649953574744,0.4196843082636954,0.0696378830083565,0.2126929674099485,0.6912521440823327,0.0876369327073552,0.376865671641791,-0.0994772240519523,-0.0615621209144592,4.959064483642578,0.7534246575342466,0.2328767123287671,4.778801918029785,5.750724792480469,3.7710280418396,4.291666507720947,7.065420627593994,7.29791259765625,West Coast McVay
NO,0.5868945868945868,0.560303893637227,0.0959164292497625,0.4131054131054131,0.1092117758784425,0.2453468697123519,0.6852791878172588,0.0436893203883495,0.3992805755395683,-0.1006790250539779,0.0026375628076493,5.400000095367432,0.6160919540229886,0.3793103448275862,5.030162334442139,5.530086040496826,5.460464954376221,6.629629611968994,7.548837184906006,8.054545402526855,West Coast McVay
NYG,0.6194444444444445,0.6861111111111111,0.1287037037037037,0.4629629629629629,0.0796296296296296,0.2046875,0.7109375,0.0433482810164424,0.3795620437956204,-0.1470912992954254,-0.0448347367346286,4.745901584625244,0.8199513381995134,0.1751824817518248,5.148063659667969,4.624260425567627,4.678260803222656,3.4594595432281494,6.89130449295044,6.858361721038818,Pistol Power Spread
NYJ,0.6501937984496124,0.7257751937984496,0.0823643410852713,0.4864341085271317,0.1017441860465116,0.1944869831546707,0.7350689127105666,0.0268256333830104,0.2922535211267605,0.0134574063122272,-0.0610808096826076,5.688311576843262,0.703601108033241,0.2825484764542936,4.933025360107422,5.281064987182617,5.928571224212647,4.708333492279053,7.19523811340332,6.785831928253174,Air Raid
PHI,0.4713656387665198,0.801762114537445,0.2405286343612334,0.3277533039647577,0.066079295154185,0.127789046653144,0.7789046653144016,0.0785046728971962,0.4939759036144578,0.1143923550844192,0.1137430295348167,5.181518077850342,0.7666666666666667,0.2183333333333333,5.848936080932617,5.83843994140625,5.649350643157959,4.296296119689941,6.753246784210205,7.794183254241943,Spread Option
PIT,0.530316742081448,0.5610859728506787,0.2262443438914027,0.3683257918552036,0.0805429864253393,0.149908592321755,0.7568555758683729,0.0665529010238907,0.4357142857142857,-0.0081316195428371,-0.0613439716398716,5.146417617797852,0.7649325626204239,0.2235067437379576,4.609755992889404,5.529891490936279,5.740087985992432,1.5,7.370044231414795,7.957661151885986,Run Power
SEA,0.6452540747842761,0.7574304889741131,0.2109300095877277,0.4630872483221476,0.1035474592521572,0.2268518518518518,0.6851851851851852,0.0371471025260029,0.294314381270903,-0.0152482446283102,-0.0554020032286644,5.18159818649292,0.7486486486486487,0.2324324324324324,5.410087585449219,6.075301170349121,5.399038314819336,2.8421051502227783,7.855769157409668,6.96446704864502,Air Raid
SF,0.576271186440678,0.5772128060263654,0.0282485875706214,0.4001883239171375,0.096045197740113,0.25177304964539,0.6826241134751773,0.0784313725490196,0.3703703703703703,0.1138617619872093,0.0121979713439941,5.269340991973877,0.7044444444444444,0.2888888888888888,6.788008689880371,5.978979110717773,5.959183692932129,4.75,6.994897842407227,8.593928337097168,Shanahan Wide Zone
TB,0.5817051509769094,0.6092362344582594,0.0532859680284191,0.4253996447602131,0.080817051509769,0.199021207177814,0.7308319738988581,0.0641221374045801,0.3795013850415512,0.1755761951208114,0.0709361210465431,5.975490093231201,0.7133757961783439,0.2738853503184713,6.389112949371338,5.994350433349609,6.6589860916137695,4.928571224212647,7.0506911277771,6.9614033699035645,West Coast McVay
TEN,0.5785512699905927,0.7111947318908749,0.0724365004703668,0.3998118532455315,0.0959548447789275,0.1993127147766323,0.7061855670103093,0.0536585365853658,0.4057971014492754,-0.123455099761486,-0.1065473780035972,4.752976417541504,0.7142857142857143,0.2633928571428571,5.0719099044799805,4.915452003479004,5.558139324188232,1.60869562625885,7.497674465179443,8.113851547241211,West Coast
WAS,0.5586975149957155,0.8586118251928021,0.583547557840617,0.377892030848329,0.0694087403598971,0.2361111111111111,0.6701388888888888,0.1165644171779141,0.4450867052023121,0.1273588687181472,0.1525721102952957,5.169863224029541,0.6601941747572816,0.3320388349514563,5.5,5.7868852615356445,6.073394298553467,9.8695650100708,6.738532066345215,7.649425506591797,West Coast McVay
LGAVG,0.5854749431477264,0.680189750903836,0.1155807191492985,0.4190530525546071,0.095008143818304,0.2030430027750518,0.7237359870619597,0.0528686458793606,0.3751780923801722,0.0302897022047545,-0.017531749617774,5.307609289884567,0.728251548011128,0.2608728076462344,5.602395549416542,5.530466437339783,5.368409372866154,4.926751505583525,7.011685788631439,7.725746333599091,
