posteam,pass_to_run,shotgun_freq,no_huddle_freq,short_passes_freq,deep_passes_freq,middle_passes,side_passes,scramble_freq,first_down_rush_pct,epa_pass,epa_run,yac,inside_run_pct,outside_run_pct,yards_gained_1,yards_gained_2,yards_gained_3,yards_gained_4,ydstogo_3rd_down,avg_air_yards
ARI,0.6031746031746031,0.8095238095238095,0.06349206349206349,0.42857142857142855,0.06349206349206349,0.11428571428571428,0.7714285714285715,0.07894736842105263,0.4117647058823529,-0.03385283797979355,0.19939802587032318,4.761904716491699,0.44,0.52,4.083333492279053,3.3809523582458496,7.846153736114502,0.0,6.692307472229004,6.161290168762207
ARI,0.3939393939393939,0.5151515151515151,0.045454545454545456,0.21212121212121213,0.10606060606060606,0.045454545454545456,0.9090909090909091,0.15384615384615385,0.6086956521739131,0.822776734828949,0.08505891263484955,5.941176414489746,0.675,0.3,6.25,7.956521511077881,11.909090995788574,,5.454545497894287,10.190476417541504
ARI,0.6727272727272727,0.7454545454545455,0.14545454545454545,0.41818181818181815,0.2,0.14285714285714285,0.8285714285714286,0.05405405405405406,0.16666666666666666,-0.16091157495975494,-0.3890877366065979,2.952380895614624,0.6111111111111112,0.3888888888888889,5.884615421295166,5.875,3.3333332538604736,0.0,7.222222328186035,11.911765098571777
ARI,0.4576271186440678,0.711864406779661,0.22033898305084745,0.3220338983050847,0.05084745762711865,0.23076923076923078,0.6153846153846154,0.037037037037037035,0.7058823529411765,-0.23208001255989075,0.032308489084243774,3.9375,0.8125,0.1875,4.71999979019165,5.736842155456543,5.0,4.666666507720947,7.909090995788574,6.318181991577148
ARI,0.5689655172413793,0.7068965517241379,0.0,0.39655172413793105,0.1206896551724138,0.12903225806451613,0.8387096774193549,0.06060606060606061,0.47368421052631576,-0.05894673988223076,0.3498983681201935,4.947368621826172,0.8,0.16,7.5,5.166666507720947,5.900000095367432,14.0,8.100000381469727,7.400000095367432
ARI,0.6101694915254238,0.711864406779661,0.22033898305084745,0.4745762711864407,0.06779661016949153,0.34375,0.65625,0.1111111111111111,0.38461538461538464,-0.05308908224105835,-0.22390738129615784,4.454545497894287,0.34782608695652173,0.6086956521739131,6.400000095367432,6.25,1.7999999523162842,,4.300000190734863,6.0
ARI,0.5178571428571429,0.5714285714285714,0.05357142857142857,0.4642857142857143,0.0,0.2692307692307692,0.7307692307692307,0.10344827586206896,0.5,-0.013157101348042488,0.08316367119550705,6.214285850524902,0.6296296296296297,0.37037037037037035,7.357142925262451,5.882352828979492,3.2857143878936768,0.0,6.714285850524902,5.5
ARI,0.5873015873015873,0.7301587301587301,0.12698412698412698,0.3968253968253968,0.1746031746031746,0.16666666666666666,0.8333333333333334,0.02702702702702703,0.2857142857142857,0.5092650055885315,-0.04069043695926666,3.692307710647583,0.8461538461538461,0.11538461538461539,7.0714287757873535,6.0,5.5,,5.75,7.611111164093018
ARI,0.40350877192982454,0.5964912280701754,0.05263157894736842,0.2807017543859649,0.07017543859649122,0.0,0.8695652173913043,0.0,0.5882352941176471,-0.31741786003112793,0.0982191264629364,7.384615421295166,0.7941176470588235,0.17647058823529413,7.269230842590332,4.764705657958984,6.153846263885498,0.0,5.0,6.300000190734863
ARI,0.44642857142857145,0.6785714285714286,0.03571428571428571,0.375,0.05357142857142857,0.08,0.88,0.0,0.4230769230769231,0.7192221879959106,0.09744753688573837,8.181818008422852,0.8064516129032258,0.1935483870967742,4.642857074737549,11.050000190734863,7.714285850524902,2.0,4.714285850524902,4.625
